Time,Heart Rate,Max Heart Rate,Time of Max,Minimum Heart Rate,Time of Minimum,Average Heart Rate
00:45:19,70,172.0,12:12:12,58.0,09:17:43,91.52168949771689
01:22:26,70,,,,,
01:59:10,70,,,,,
02:01:01,70,,,,,
02:34:34,70,,,,,
02:51:07,70,,,,,
02:51:22,70,,,,,
03:18:37,70,,,,,
04:27:23,70,,,,,
06:09:31,70,,,,,
06:10:46,70,,,,,
06:30:09,70,,,,,
06:30:30,70,,,,,
06:38:09,70,,,,,
07:07:31,70,,,,,
07:28:52,70,,,,,
07:29:35,70,,,,,
07:33:48,70,,,,,
07:34:45,70,,,,,
07:35:00,70,,,,,
07:35:05,72,,,,,
07:35:20,78,,,,,
07:35:25,84,,,,,
07:35:40,84,,,,,
07:35:50,85,,,,,
07:36:05,89,,,,,
07:36:10,70,,,,,
07:36:15,67,,,,,
07:36:30,67,,,,,
07:36:45,67,,,,,
07:36:50,68,,,,,
07:37:05,68,,,,,
07:37:20,67,,,,,
07:37:35,67,,,,,
07:37:40,67,,,,,
07:37:45,67,,,,,
07:38:00,67,,,,,
07:38:15,67,,,,,
07:38:30,67,,,,,
07:38:45,67,,,,,
07:38:50,68,,,,,
07:38:55,67,,,,,
07:39:00,68,,,,,
07:39:07,68,,,,,
07:39:17,69,,,,,
07:39:22,70,,,,,
07:39:27,69,,,,,
07:39:42,69,,,,,
07:39:47,70,,,,,
07:40:02,71,,,,,
07:40:07,70,,,,,
07:40:12,71,,,,,
07:40:17,75,,,,,
07:40:22,76,,,,,
07:40:27,77,,,,,
07:40:32,79,,,,,
07:40:42,79,,,,,
07:40:48,78,,,,,
07:40:53,78,,,,,
07:40:58,78,,,,,
07:41:13,78,,,,,
07:41:24,78,,,,,
07:41:29,78,,,,,
07:41:37,78,,,,,
07:41:52,78,,,,,
07:41:57,81,,,,,
07:42:02,86,,,,,
07:42:12,87,,,,,
07:42:17,88,,,,,
07:42:22,89,,,,,
07:42:27,91,,,,,
07:42:32,92,,,,,
07:42:37,95,,,,,
07:42:42,98,,,,,
07:42:47,102,,,,,
07:42:52,107,,,,,
07:43:07,102,,,,,
07:43:12,102,,,,,
07:43:17,105,,,,,
07:43:22,109,,,,,
07:43:32,110,,,,,
07:43:37,108,,,,,
07:43:42,109,,,,,
07:43:47,105,,,,,
07:43:52,104,,,,,
07:43:57,105,,,,,
07:44:02,110,,,,,
07:44:07,113,,,,,
07:44:12,115,,,,,
07:44:17,114,,,,,
07:44:27,117,,,,,
07:44:42,117,,,,,
07:44:47,116,,,,,
07:44:57,115,,,,,
07:45:02,116,,,,,
07:45:08,119,,,,,
07:45:13,124,,,,,
07:45:18,128,,,,,
07:45:33,131,,,,,
07:45:38,138,,,,,
07:45:43,142,,,,,
07:45:48,140,,,,,
07:46:03,137,,,,,
07:46:08,134,,,,,
07:46:13,132,,,,,
07:46:18,133,,,,,
07:46:23,134,,,,,
07:46:28,133,,,,,
07:46:33,128,,,,,
07:46:38,125,,,,,
07:46:43,119,,,,,
07:46:48,115,,,,,
07:46:53,113,,,,,
07:46:58,112,,,,,
07:47:08,114,,,,,
07:47:13,112,,,,,
07:47:18,111,,,,,
07:47:28,110,,,,,
07:47:33,108,,,,,
07:47:38,105,,,,,
07:47:48,103,,,,,
07:48:13,70,,,,,
07:48:28,70,,,,,
07:48:43,70,,,,,
07:48:59,70,,,,,
07:58:14,70,,,,,
07:58:29,90,,,,,
07:58:44,90,,,,,
07:58:49,88,,,,,
07:58:54,90,,,,,
07:58:59,98,,,,,
07:59:04,97,,,,,
07:59:09,95,,,,,
07:59:14,94,,,,,
08:01:22,70,,,,,
08:30:57,70,,,,,
09:11:43,70,,,,,
09:11:53,79,,,,,
09:11:58,94,,,,,
09:12:03,97,,,,,
09:12:08,106,,,,,
09:12:13,108,,,,,
09:12:18,106,,,,,
09:12:23,107,,,,,
09:12:28,105,,,,,
09:12:34,106,,,,,
09:12:39,107,,,,,
09:12:44,108,,,,,
09:12:59,106,,,,,
09:13:04,105,,,,,
09:13:10,105,,,,,
09:13:41,70,,,,,
09:14:13,70,,,,,
09:14:21,70,,,,,
09:15:11,70,,,,,
09:15:26,70,,,,,
09:15:36,72,,,,,
09:15:41,88,,,,,
09:15:46,87,,,,,
09:15:51,86,,,,,
09:16:18,70,,,,,
09:16:28,70,,,,,
09:16:33,67,,,,,
09:16:48,70,,,,,
09:16:53,73,,,,,
09:17:08,73,,,,,
09:17:18,67,,,,,
09:17:33,63,,,,,
09:17:38,59,,,,,
09:17:43,58,,,,,
09:17:48,58,,,,,
09:17:53,60,,,,,
09:18:08,60,,,,,
09:18:23,61,,,,,
09:18:38,61,,,,,
09:18:53,61,,,,,
09:19:08,62,,,,,
09:19:13,63,,,,,
09:19:18,64,,,,,
09:19:33,83,,,,,
09:19:38,97,,,,,
09:19:43,99,,,,,
09:19:48,101,,,,,
09:19:53,101,,,,,
09:20:00,101,,,,,
09:20:05,100,,,,,
09:20:10,99,,,,,
09:20:25,99,,,,,
09:20:35,99,,,,,
09:20:50,98,,,,,
09:20:55,99,,,,,
09:21:10,99,,,,,
09:21:20,98,,,,,
09:21:35,98,,,,,
09:21:40,96,,,,,
09:21:50,94,,,,,
09:21:55,95,,,,,
09:22:10,95,,,,,
09:22:25,96,,,,,
09:22:35,109,,,,,
09:22:40,109,,,,,
09:22:55,109,,,,,
09:23:00,108,,,,,
09:23:15,108,,,,,
09:23:20,107,,,,,
09:23:35,107,,,,,
09:23:50,106,,,,,
09:24:05,106,,,,,
09:24:20,105,,,,,
09:24:35,105,,,,,
09:24:37,105,,,,,
09:24:52,104,,,,,
09:25:07,104,,,,,
09:25:12,101,,,,,
09:25:17,99,,,,,
09:25:32,99,,,,,
09:25:37,100,,,,,
09:25:42,101,,,,,
09:25:47,100,,,,,
09:25:52,99,,,,,
09:25:57,100,,,,,
09:26:12,99,,,,,
09:26:22,100,,,,,
09:26:37,100,,,,,
09:26:52,99,,,,,
09:27:07,99,,,,,
09:27:22,99,,,,,
09:27:37,99,,,,,
09:27:42,98,,,,,
09:27:57,98,,,,,
09:28:07,97,,,,,
09:28:12,93,,,,,
09:28:22,98,,,,,
09:28:37,98,,,,,
09:28:52,98,,,,,
09:29:07,98,,,,,
09:29:14,98,,,,,
09:29:27,70,,,,,
09:29:40,70,,,,,
09:29:50,71,,,,,
09:30:05,69,,,,,
09:30:15,72,,,,,
09:30:20,83,,,,,
09:30:30,97,,,,,
09:30:35,105,,,,,
09:30:40,106,,,,,
09:30:45,107,,,,,
09:30:50,105,,,,,
09:30:55,104,,,,,
09:31:00,105,,,,,
09:31:10,104,,,,,
09:31:15,102,,,,,
09:31:20,101,,,,,
09:31:25,106,,,,,
09:31:30,103,,,,,
09:31:35,97,,,,,
09:31:40,94,,,,,
09:31:45,98,,,,,
09:31:55,96,,,,,
09:32:10,94,,,,,
09:32:15,98,,,,,
09:32:20,99,,,,,
09:32:26,99,,,,,
09:32:36,101,,,,,
09:32:41,102,,,,,
09:32:46,105,,,,,
09:32:56,107,,,,,
09:33:01,106,,,,,
09:33:06,109,,,,,
09:33:11,110,,,,,
09:33:16,112,,,,,
09:33:21,112,,,,,
09:33:26,114,,,,,
09:33:31,119,,,,,
09:33:36,124,,,,,
09:33:41,122,,,,,
09:33:46,117,,,,,
09:33:51,120,,,,,
09:33:56,125,,,,,
09:34:01,129,,,,,
09:34:06,131,,,,,
09:34:11,128,,,,,
09:34:16,127,,,,,
09:34:31,125,,,,,
09:34:36,124,,,,,
09:34:41,121,,,,,
09:34:46,122,,,,,
09:34:51,121,,,,,
09:34:56,116,,,,,
09:35:03,115,,,,,
09:35:08,118,,,,,
09:35:13,122,,,,,
09:35:18,126,,,,,
09:35:23,131,,,,,
09:35:28,133,,,,,
09:35:43,135,,,,,
09:35:48,129,,,,,
09:35:53,124,,,,,
09:35:58,125,,,,,
09:36:03,128,,,,,
09:36:08,121,,,,,
09:36:13,118,,,,,
09:36:18,119,,,,,
09:36:23,113,,,,,
09:36:28,112,,,,,
09:36:42,113,,,,,
09:37:04,70,,,,,
09:40:50,70,,,,,
09:52:38,70,,,,,
09:52:44,70,,,,,
10:27:43,70,,,,,
10:27:58,77,,,,,
10:28:03,93,,,,,
10:28:08,73,,,,,
10:28:13,76,,,,,
10:28:18,81,,,,,
10:28:23,83,,,,,
10:28:28,84,,,,,
10:28:33,90,,,,,
10:28:38,96,,,,,
10:28:43,103,,,,,
10:28:48,108,,,,,
10:28:53,110,,,,,
10:28:58,106,,,,,
10:29:03,102,,,,,
10:29:08,100,,,,,
10:29:13,101,,,,,
10:29:18,102,,,,,
10:29:23,104,,,,,
10:29:28,108,,,,,
10:29:33,110,,,,,
10:29:38,110,,,,,
10:29:43,114,,,,,
10:29:49,113,,,,,
10:29:54,114,,,,,
10:30:04,111,,,,,
10:30:09,110,,,,,
10:30:14,110,,,,,
10:30:29,110,,,,,
10:30:34,113,,,,,
10:30:39,112,,,,,
10:30:44,104,,,,,
10:30:49,106,,,,,
10:30:54,104,,,,,
10:30:59,103,,,,,
10:31:04,100,,,,,
10:31:09,96,,,,,
10:31:14,94,,,,,
10:31:19,96,,,,,
10:31:24,97,,,,,
10:31:29,96,,,,,
10:31:34,95,,,,,
10:31:39,98,,,,,
10:31:44,102,,,,,
10:31:49,104,,,,,
10:31:54,104,,,,,
10:31:59,105,,,,,
10:32:04,109,,,,,
10:32:09,104,,,,,
10:32:14,102,,,,,
10:32:19,101,,,,,
10:32:29,103,,,,,
10:32:34,104,,,,,
10:32:39,108,,,,,
10:32:45,112,,,,,
10:32:50,114,,,,,
10:32:55,115,,,,,
10:33:00,121,,,,,
10:33:05,128,,,,,
10:33:10,134,,,,,
10:33:15,139,,,,,
10:33:30,139,,,,,
10:33:35,136,,,,,
10:33:40,132,,,,,
10:33:45,137,,,,,
10:33:50,138,,,,,
10:34:00,142,,,,,
10:34:05,149,,,,,
10:34:10,151,,,,,
10:34:15,154,,,,,
10:34:30,156,,,,,
10:34:35,153,,,,,
10:34:45,151,,,,,
10:34:50,149,,,,,
10:35:00,150,,,,,
10:35:05,145,,,,,
10:35:10,139,,,,,
10:35:15,134,,,,,
10:35:20,131,,,,,
10:35:25,128,,,,,
10:35:30,123,,,,,
10:35:37,124,,,,,
10:35:42,121,,,,,
10:35:47,121,,,,,
10:35:52,120,,,,,
10:35:57,119,,,,,
10:36:02,119,,,,,
10:36:23,70,,,,,
10:36:33,75,,,,,
10:36:38,88,,,,,
10:36:43,93,,,,,
10:36:48,111,,,,,
10:36:53,125,,,,,
10:36:58,128,,,,,
10:37:13,128,,,,,
10:37:28,124,,,,,
10:37:43,124,,,,,
10:37:58,120,,,,,
10:38:13,120,,,,,
10:38:28,117,,,,,
10:44:05,70,,,,,
12:05:29,70,,,,,
12:05:34,70,,,,,
12:05:43,74,,,,,
12:07:20,70,,,,,
12:07:30,69,,,,,
12:07:40,75,,,,,
12:07:45,96,,,,,
12:07:50,90,,,,,
12:07:55,84,,,,,
12:08:00,81,,,,,
12:08:05,85,,,,,
12:08:10,90,,,,,
12:08:15,91,,,,,
12:08:20,94,,,,,
12:08:25,97,,,,,
12:08:30,102,,,,,
12:08:35,107,,,,,
12:08:40,111,,,,,
12:08:50,108,,,,,
12:08:55,110,,,,,
12:09:00,112,,,,,
12:09:05,113,,,,,
12:09:10,111,,,,,
12:09:15,114,,,,,
12:09:20,116,,,,,
12:09:25,114,,,,,
12:09:30,111,,,,,
12:09:35,115,,,,,
12:09:41,118,,,,,
12:09:46,119,,,,,
12:09:51,120,,,,,
12:09:56,122,,,,,
12:10:01,124,,,,,
12:10:06,126,,,,,
12:10:11,132,,,,,
12:10:16,135,,,,,
12:10:21,137,,,,,
12:10:26,143,,,,,
12:10:31,150,,,,,
12:10:36,157,,,,,
12:10:41,161,,,,,
12:10:46,164,,,,,
12:10:51,167,,,,,
12:10:56,166,,,,,
12:11:01,164,,,,,
12:11:06,163,,,,,
12:11:11,162,,,,,
12:11:16,159,,,,,
12:11:21,156,,,,,
12:11:26,159,,,,,
12:11:31,163,,,,,
12:11:36,166,,,,,
12:11:41,168,,,,,
12:11:46,169,,,,,
12:11:51,169,,,,,
12:11:57,169,,,,,
12:12:07,171,,,,,
12:12:12,172,,,,,
12:12:17,171,,,,,
12:12:27,167,,,,,
12:12:32,166,,,,,
12:12:37,164,,,,,
12:12:42,158,,,,,
12:12:47,157,,,,,
12:12:57,152,,,,,
12:13:02,151,,,,,
12:13:17,148,,,,,
12:13:22,144,,,,,
12:13:27,141,,,,,
12:13:32,143,,,,,
12:13:37,142,,,,,
12:13:56,70,,,,,
12:14:06,68,,,,,
12:14:11,68,,,,,
12:14:16,75,,,,,
12:14:21,82,,,,,
12:14:26,118,,,,,
12:15:51,70,,,,,
12:43:56,70,,,,,
12:44:55,70,,,,,
12:47:13,70,,,,,
12:51:27,70,,,,,
12:53:54,70,,,,,
12:54:04,83,,,,,
12:54:09,86,,,,,
12:54:14,86,,,,,
12:54:19,87,,,,,
12:54:27,87,,,,,
12:54:50,70,,,,,
12:57:58,70,,,,,
13:00:38,70,,,,,
13:00:48,99,,,,,
13:01:03,96,,,,,
13:01:08,101,,,,,
13:01:13,100,,,,,
13:01:28,100,,,,,
13:01:33,87,,,,,
13:01:38,84,,,,,
13:01:43,81,,,,,
13:01:48,80,,,,,
13:01:58,79,,,,,
13:02:13,79,,,,,
13:02:18,78,,,,,
13:02:23,77,,,,,
13:02:33,77,,,,,
13:02:43,78,,,,,
13:02:48,79,,,,,
13:02:53,81,,,,,
13:03:08,81,,,,,
13:03:23,81,,,,,
13:03:28,80,,,,,
13:03:43,81,,,,,
13:03:46,81,,,,,
13:03:51,82,,,,,
13:04:01,82,,,,,
13:04:06,83,,,,,
13:04:11,79,,,,,
13:04:16,79,,,,,
13:04:21,80,,,,,
13:04:36,80,,,,,
13:04:41,87,,,,,
13:04:46,84,,,,,
13:04:51,83,,,,,
13:04:56,84,,,,,
13:05:11,83,,,,,
13:05:16,82,,,,,
13:05:31,82,,,,,
13:05:41,78,,,,,
13:05:46,79,,,,,
13:05:51,79,,,,,
13:06:06,80,,,,,
13:06:21,80,,,,,
13:06:31,78,,,,,
13:06:36,82,,,,,
13:06:41,82,,,,,
13:06:51,84,,,,,
13:06:56,82,,,,,
13:07:01,81,,,,,
13:07:06,81,,,,,
13:07:13,81,,,,,
13:07:23,81,,,,,
13:07:28,81,,,,,
13:07:38,82,,,,,
13:07:53,82,,,,,
13:07:58,83,,,,,
13:08:13,83,,,,,
13:08:18,82,,,,,
13:08:28,81,,,,,
13:08:43,80,,,,,
13:08:58,80,,,,,
13:09:08,78,,,,,
13:09:18,79,,,,,
13:09:23,80,,,,,
13:09:28,79,,,,,
13:09:43,80,,,,,
13:09:58,80,,,,,
13:10:03,81,,,,,
13:10:13,80,,,,,
13:10:28,80,,,,,
13:10:33,81,,,,,
13:10:38,82,,,,,
13:10:53,82,,,,,
13:10:58,81,,,,,
13:11:03,87,,,,,
13:11:18,87,,,,,
13:11:33,86,,,,,
13:11:35,86,,,,,
13:11:40,85,,,,,
13:11:45,84,,,,,
13:11:50,83,,,,,
13:12:05,83,,,,,
13:12:15,84,,,,,
13:13:00,70,,,,,
13:13:31,70,,,,,
13:14:36,70,,,,,
13:14:51,70,,,,,
13:14:56,85,,,,,
13:15:06,97,,,,,
13:15:11,79,,,,,
13:15:26,79,,,,,
13:15:41,78,,,,,
13:15:46,78,,,,,
13:15:51,77,,,,,
13:15:56,76,,,,,
13:16:06,75,,,,,
13:16:11,75,,,,,
13:16:26,75,,,,,
13:16:31,78,,,,,
13:16:41,79,,,,,
13:16:46,78,,,,,
13:17:01,78,,,,,
13:17:11,78,,,,,
13:17:26,78,,,,,
13:17:31,75,,,,,
13:17:36,75,,,,,
13:17:46,76,,,,,
13:17:53,76,,,,,
13:17:58,78,,,,,
13:18:03,78,,,,,
13:18:18,78,,,,,
13:18:33,77,,,,,
13:18:48,77,,,,,
13:19:03,76,,,,,
13:19:08,75,,,,,
13:19:23,75,,,,,
13:19:28,77,,,,,
13:19:33,78,,,,,
13:19:48,78,,,,,
13:20:03,78,,,,,
13:20:18,78,,,,,
13:20:33,78,,,,,
13:20:38,80,,,,,
13:20:43,81,,,,,
13:20:58,80,,,,,
13:21:03,79,,,,,
13:21:18,79,,,,,
13:21:28,80,,,,,
13:21:33,79,,,,,
13:21:48,79,,,,,
13:21:53,78,,,,,
13:22:08,78,,,,,
13:22:23,78,,,,,
13:22:33,78,,,,,
13:22:41,80,,,,,
13:22:46,81,,,,,
13:23:01,81,,,,,
13:23:11,79,,,,,
13:23:16,78,,,,,
13:23:31,77,,,,,
13:23:46,77,,,,,
13:23:51,76,,,,,
13:24:01,75,,,,,
13:24:16,75,,,,,
13:24:31,75,,,,,
13:24:46,75,,,,,
13:24:51,76,,,,,
13:25:01,75,,,,,
13:25:06,75,,,,,
13:25:11,75,,,,,
13:25:16,73,,,,,
13:25:31,73,,,,,
13:25:41,73,,,,,
13:25:56,73,,,,,
13:26:06,74,,,,,
13:26:21,74,,,,,
13:26:36,74,,,,,
13:26:51,74,,,,,
13:26:56,75,,,,,
13:27:11,75,,,,,
13:27:26,75,,,,,
13:27:28,75,,,,,
13:27:43,75,,,,,
13:27:58,75,,,,,
13:28:03,76,,,,,
13:28:08,75,,,,,
13:28:23,75,,,,,
13:28:38,75,,,,,
13:28:48,76,,,,,
13:28:53,75,,,,,
13:29:08,75,,,,,
13:29:18,76,,,,,
13:29:28,77,,,,,
13:29:43,77,,,,,
13:29:53,76,,,,,
13:30:03,74,,,,,
13:30:08,73,,,,,
13:30:13,74,,,,,
13:30:28,76,,,,,
13:30:43,77,,,,,
13:30:58,76,,,,,
13:31:08,74,,,,,
13:31:13,73,,,,,
13:31:18,74,,,,,
13:31:23,73,,,,,
13:31:38,73,,,,,
13:31:53,74,,,,,
13:32:03,75,,,,,
13:32:10,75,,,,,
13:32:15,74,,,,,
13:32:30,74,,,,,
13:32:35,73,,,,,
13:32:50,73,,,,,
13:33:00,74,,,,,
13:33:10,75,,,,,
13:33:25,75,,,,,
13:33:40,75,,,,,
13:33:55,75,,,,,
13:34:10,75,,,,,
13:34:20,74,,,,,
13:34:35,75,,,,,
13:34:50,75,,,,,
13:35:05,75,,,,,
13:35:10,76,,,,,
13:35:15,77,,,,,
13:35:30,77,,,,,
13:35:45,77,,,,,
13:36:00,77,,,,,
13:36:15,77,,,,,
13:36:30,76,,,,,
13:36:35,75,,,,,
13:36:40,76,,,,,
13:36:45,77,,,,,
13:37:00,77,,,,,
13:37:15,77,,,,,
13:37:18,77,,,,,
13:37:33,77,,,,,
13:37:43,76,,,,,
13:37:53,75,,,,,
13:37:58,75,,,,,
13:38:13,75,,,,,
13:38:28,75,,,,,
13:38:43,75,,,,,
13:38:58,73,,,,,
13:39:13,73,,,,,
13:39:28,73,,,,,
13:39:43,73,,,,,
13:39:58,73,,,,,
13:40:08,74,,,,,
13:40:13,75,,,,,
13:40:28,75,,,,,
13:40:43,76,,,,,
13:40:58,76,,,,,
13:41:13,76,,,,,
13:41:28,76,,,,,
13:41:43,76,,,,,
13:41:48,75,,,,,
13:42:03,75,,,,,
13:42:08,74,,,,,
13:42:13,73,,,,,
13:42:28,74,,,,,
13:42:33,73,,,,,
13:42:40,72,,,,,
13:42:50,73,,,,,
13:43:00,74,,,,,
13:43:05,73,,,,,
13:43:20,73,,,,,
13:43:35,73,,,,,
13:43:50,73,,,,,
13:43:55,72,,,,,
13:44:00,71,,,,,
13:44:15,71,,,,,
13:44:30,71,,,,,
13:44:45,71,,,,,
13:44:55,71,,,,,
13:45:00,70,,,,,
13:45:15,71,,,,,
13:45:30,71,,,,,
13:45:35,72,,,,,
13:45:50,71,,,,,
13:45:55,72,,,,,
13:46:00,71,,,,,
13:46:10,72,,,,,
13:46:15,73,,,,,
13:46:30,73,,,,,
13:46:40,72,,,,,
13:46:55,73,,,,,
13:47:00,84,,,,,
13:47:07,82,,,,,
13:47:12,81,,,,,
13:47:22,80,,,,,
13:47:37,80,,,,,
13:47:47,81,,,,,
13:47:52,80,,,,,
13:47:57,79,,,,,
13:48:12,79,,,,,
13:48:27,78,,,,,
13:48:37,78,,,,,
13:48:42,77,,,,,
13:48:52,77,,,,,
13:49:07,77,,,,,
13:49:22,77,,,,,
13:49:37,77,,,,,
13:49:52,77,,,,,
13:50:07,77,,,,,
13:50:17,76,,,,,
13:50:22,75,,,,,
13:50:32,76,,,,,
13:50:37,76,,,,,
13:50:47,77,,,,,
13:50:52,80,,,,,
13:50:57,81,,,,,
13:51:02,80,,,,,
13:51:07,81,,,,,
13:51:12,82,,,,,
13:51:19,84,,,,,
13:51:24,83,,,,,
13:51:29,83,,,,,
13:51:34,80,,,,,
13:51:39,79,,,,,
13:51:44,76,,,,,
13:51:49,75,,,,,
13:51:54,74,,,,,
13:52:09,74,,,,,
13:52:24,72,,,,,
13:52:29,71,,,,,
13:52:39,70,,,,,
13:52:49,69,,,,,
13:52:59,70,,,,,
13:53:09,69,,,,,
13:53:24,70,,,,,
13:53:39,70,,,,,
13:53:54,70,,,,,
13:54:09,70,,,,,
13:54:24,70,,,,,
13:54:39,70,,,,,
13:54:54,70,,,,,
13:55:04,70,,,,,
13:55:19,70,,,,,
13:55:29,72,,,,,
13:55:39,73,,,,,
13:55:54,73,,,,,
13:55:57,73,,,,,
13:56:12,73,,,,,
13:56:27,73,,,,,
13:56:42,73,,,,,
13:56:57,73,,,,,
13:57:07,73,,,,,
13:57:22,72,,,,,
13:57:27,72,,,,,
13:57:42,72,,,,,
13:57:47,73,,,,,
13:57:52,74,,,,,
13:58:07,74,,,,,
13:58:17,73,,,,,
13:58:22,72,,,,,
13:58:27,71,,,,,
13:58:42,71,,,,,
13:58:57,71,,,,,
13:59:12,71,,,,,
13:59:17,72,,,,,
13:59:32,72,,,,,
13:59:42,73,,,,,
13:59:52,74,,,,,
14:00:07,74,,,,,
14:00:17,73,,,,,
14:00:22,73,,,,,
14:00:32,73,,,,,
14:00:37,73,,,,,
14:00:44,73,,,,,
14:00:59,73,,,,,
14:01:14,73,,,,,
14:01:29,74,,,,,
14:01:44,74,,,,,
14:01:49,73,,,,,
14:02:04,73,,,,,
14:02:09,74,,,,,
14:02:14,76,,,,,
14:02:24,77,,,,,
14:02:34,78,,,,,
14:02:39,77,,,,,
14:02:49,78,,,,,
14:03:04,78,,,,,
14:03:09,79,,,,,
14:03:24,80,,,,,
14:03:29,79,,,,,
14:03:34,78,,,,,
14:03:39,77,,,,,
14:03:54,77,,,,,
14:03:59,76,,,,,
14:04:14,76,,,,,
14:04:29,76,,,,,
14:04:44,76,,,,,
14:04:59,76,,,,,
14:05:14,76,,,,,
14:05:29,75,,,,,
